Date,2YO,3YO,4YO,5YO
2017-06-03,97172.60424938216,72264.28560632284,,
2017-06-04,95726.70607326708,,95640.85586906028,
2017-06-05,,,96630.39243333902,
2017-06-06,,,55795.60439479415,44746.42913080889
2017-06-07,95735.7429368678,73209.30657943824,95654.41116446131,
2017-06-08,94170.4630363432,72984.06165502552,94159.04805074232,45109.90473450284
2017-06-11,92883.96698058365,,74082.42905198516,44587.09495679618
2017-06-12,,73899.39434531139,,
2017-06-13,93160.23681066275,,93160.23681066275,
2017-06-14,91590.4045051664,73850.28816819776,91573.0349491546,44892.45342015938
2017-06-15,,,54575.36361694227,
2017-06-16,,,,44361.17336677821
2017-06-17,,74340.55759563742,,
2017-06-18,91232.37257584264,,91232.37257584264,
2017-06-20,90321.37065952252,74478.57931688227,72234.33774674893,44604.30364893579
2017-06-22,,74304.17541750465,,44092.92120515686
2017-06-24,,,53667.59810857316,
2017-06-25,90375.8196612176,,90259.40359483186,
2017-06-26,,,,44264.00037590384
2017-06-27,,74154.49769812022,,43900.29332314152
2017-06-30,90865.69498913466,73203.22723483414,72225.06317469318,
2017-07-02,,73799.48136162804,,43689.26815346572
2017-07-04,,72850.53135830321,,
2017-07-05,91910.6850345997,72935.17487312271,91945.18942289332,
2017-07-06,,71901.66068022768,53375.44050902178,
2017-07-07,,,,43300.81952745945
2017-07-09,,72472.30123419999,,
2017-07-10,92975.39187337532,,92943.35208424552,
2017-07-11,,71205.17669271509,,
2017-07-12,,71581.38868959645,53198.20746284844,42693.074662127765
2017-07-13,,,,42946.826530874285
2017-07-15,93719.5711051073,,93774.7435355117,
2017-07-16,,70353.09558004729,,
2017-07-17,,70774.87283364689,,42385.97317976382
2017-07-18,,,53043.12854744676,
2017-07-19,,,,42629.210142711134
2017-07-20,94136.21807954049,,94085.186379207,
2017-07-21,,69945.8252009291,,
2017-07-22,,70061.19333521674,,42203.17033892643
2017-07-24,,,73205.8907656729,
2017-07-25,93606.05541496493,,,42515.48560474991
2017-07-27,,69906.8149553012,,42300.76846581421
2017-07-28,,,92922.26606917716,
2017-07-29,92780.68853943257,,,
2017-07-30,,,52268.71859847265,
2017-07-31,,,,42444.592386280565
2017-08-01,,69953.57108401545,,42300.76846581421
2017-08-02,,69920.14536930376,92598.30820130894,
2017-08-03,92255.16016388305,,91491.8927612992,
2017-08-04,91183.24911216692,,,
2017-08-05,,,51800.28181115615,
2017-08-06,,70070.3551674709,,42493.33147397824
2017-08-07,,,91262.4954545117,42216.424405540805
2017-08-08,,70084.08593701411,90261.48902489356,
2017-08-09,90676.22892841505,,,
2017-08-11,,70298.61496695201,51504.36592156315,42197.49002466313
2017-08-12,89778.19060809356,,,42515.48560474991
2017-08-13,,,89944.24297675677,
2017-08-14,,70314.48889703947,,
